timings.Fajr,timings.Sunrise,timings.Dhuhr,timings.Asr,timings.Sunset,timings.Maghrib,timings.Isha,timings.Imsak,timings.Midnight,timings.Firstthird,timings.Lastthird,date.readable,date.timestamp,date.gregorian.date,date.gregorian.format,date.gregorian.day,date.gregorian.weekday.en,date.gregorian.month.number,date.gregorian.month.en,date.gregorian.year,date.gregorian.designation.abbreviated,date.gregorian.designation.expanded,date.hijri.date,date.hijri.format,date.hijri.day,date.hijri.weekday.en,date.hijri.weekday.ar,date.hijri.month.number,date.hijri.month.en,date.hijri.month.ar,date.hijri.year,date.hijri.designation.abbreviated,date.hijri.designation.expanded,meta.latitude,meta.longitude,meta.timezone,meta.method.id,meta.method.name,meta.method.params.Fajr,meta.method.params.Isha,meta.method.location.latitude,meta.method.location.longitude,meta.latitudeAdjustmentMethod,meta.midnightMode,meta.school,meta.offset.Imsak,meta.offset.Fajr,meta.offset.Sunrise,meta.offset.Dhuhr,meta.offset.Asr,meta.offset.Maghrib,meta.offset.Sunset,meta.offset.Isha,meta.offset.Midnight,date.hijri.holidays
"04:40 (WIB)","05:58 (WIB)","12:05 (WIB)","15:07 (WIB)","18:11 (WIB)","18:11 (WIB)","19:21 (WIB)","04:30 (WIB)","00:05 (WIB)","22:07 (WIB)","02:03 (WIB)","01 Mar 2024",1709258461,01-03-2024,DD-MM-YYYY,01,Friday,3,March,2024,AD,"Anno Domini",21-08-1445,DD-MM-YYYY,21,"Al Juma'a",الجمعة,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:05 (WIB)","15:06 (WIB)","18:11 (WIB)","18:11 (WIB)","19:21 (WIB)","04:30 (WIB)","00:05 (WIB)","22:07 (WIB)","02:03 (WIB)","02 Mar 2024",1709344861,02-03-2024,DD-MM-YYYY,02,Saturday,3,March,2024,AD,"Anno Domini",22-08-1445,DD-MM-YYYY,22,"Al Sabt",السبت,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:05 (WIB)","15:06 (WIB)","18:11 (WIB)","18:11 (WIB)","19:20 (WIB)","04:30 (WIB)","00:04 (WIB)","22:07 (WIB)","02:02 (WIB)","03 Mar 2024",1709431261,03-03-2024,DD-MM-YYYY,03,Sunday,3,March,2024,AD,"Anno Domini",23-08-1445,DD-MM-YYYY,23,"Al Ahad",الاحد,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:04 (WIB)","15:07 (WIB)","18:10 (WIB)","18:10 (WIB)","19:20 (WIB)","04:30 (WIB)","00:04 (WIB)","22:06 (WIB)","02:02 (WIB)","04 Mar 2024",1709517661,04-03-2024,DD-MM-YYYY,04,Monday,3,March,2024,AD,"Anno Domini",24-08-1445,DD-MM-YYYY,24,"Al Athnayn",الاثنين,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:04 (WIB)","15:07 (WIB)","18:10 (WIB)","18:10 (WIB)","19:19 (WIB)","04:30 (WIB)","00:04 (WIB)","22:06 (WIB)","02:02 (WIB)","05 Mar 2024",1709604061,05-03-2024,DD-MM-YYYY,05,Tuesday,3,March,2024,AD,"Anno Domini",25-08-1445,DD-MM-YYYY,25,"Al Thalaata",الثلاثاء,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:04 (WIB)","15:07 (WIB)","18:09 (WIB)","18:09 (WIB)","19:19 (WIB)","04:30 (WIB)","00:04 (WIB)","22:06 (WIB)","02:02 (WIB)","06 Mar 2024",1709690461,06-03-2024,DD-MM-YYYY,06,Wednesday,3,March,2024,AD,"Anno Domini",26-08-1445,DD-MM-YYYY,26,"Al Arba'a",الاربعاء,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:04 (WIB)","15:08 (WIB)","18:09 (WIB)","18:09 (WIB)","19:19 (WIB)","04:30 (WIB)","00:04 (WIB)","22:05 (WIB)","02:02 (WIB)","07 Mar 2024",1709776861,07-03-2024,DD-MM-YYYY,07,Thursday,3,March,2024,AD,"Anno Domini",27-08-1445,DD-MM-YYYY,27,"Al Khamees",الخميس,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:03 (WIB)","15:08 (WIB)","18:09 (WIB)","18:09 (WIB)","19:18 (WIB)","04:30 (WIB)","00:03 (WIB)","22:05 (WIB)","02:02 (WIB)","08 Mar 2024",1709863261,08-03-2024,DD-MM-YYYY,08,Friday,3,March,2024,AD,"Anno Domini",28-08-1445,DD-MM-YYYY,28,"Al Juma'a",الجمعة,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:03 (WIB)","15:09 (WIB)","18:08 (WIB)","18:08 (WIB)","19:18 (WIB)","04:30 (WIB)","00:03 (WIB)","22:05 (WIB)","02:01 (WIB)","09 Mar 2024",1709949661,09-03-2024,DD-MM-YYYY,09,Saturday,3,March,2024,AD,"Anno Domini",29-08-1445,DD-MM-YYYY,29,"Al Sabt",السبت,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:03 (WIB)","15:09 (WIB)","18:08 (WIB)","18:08 (WIB)","19:17 (WIB)","04:30 (WIB)","00:03 (WIB)","22:04 (WIB)","02:01 (WIB)","10 Mar 2024",1710036061,10-03-2024,DD-MM-YYYY,10,Sunday,3,March,2024,AD,"Anno Domini",30-08-1445,DD-MM-YYYY,30,"Al Ahad",الاحد,8,Shaʿbān,شَعْبان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:03 (WIB)","15:09 (WIB)","18:07 (WIB)","18:07 (WIB)","19:17 (WIB)","04:30 (WIB)","00:03 (WIB)","22:04 (WIB)","02:01 (WIB)","11 Mar 2024",1710122461,11-03-2024,DD-MM-YYYY,11,Monday,3,March,2024,AD,"Anno Domini",02-09-1445,DD-MM-YYYY,02,"Al Athnayn",الاثنين,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:02 (WIB)","15:10 (WIB)","18:07 (WIB)","18:07 (WIB)","19:16 (WIB)","04:30 (WIB)","00:02 (WIB)","22:04 (WIB)","02:01 (WIB)","12 Mar 2024",1710208861,12-03-2024,DD-MM-YYYY,12,Tuesday,3,March,2024,AD,"Anno Domini",03-09-1445,DD-MM-YYYY,03,"Al Thalaata",الثلاثاء,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:58 (WIB)","12:02 (WIB)","15:10 (WIB)","18:06 (WIB)","18:06 (WIB)","19:16 (WIB)","04:30 (WIB)","00:02 (WIB)","22:04 (WIB)","02:01 (WIB)","13 Mar 2024",1710295261,13-03-2024,DD-MM-YYYY,13,Wednesday,3,March,2024,AD,"Anno Domini",04-09-1445,DD-MM-YYYY,04,"Al Arba'a",الاربعاء,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:57 (WIB)","12:02 (WIB)","15:10 (WIB)","18:06 (WIB)","18:06 (WIB)","19:15 (WIB)","04:30 (WIB)","00:02 (WIB)","22:03 (WIB)","02:00 (WIB)","14 Mar 2024",1710381661,14-03-2024,DD-MM-YYYY,14,Thursday,3,March,2024,AD,"Anno Domini",05-09-1445,DD-MM-YYYY,05,"Al Khamees",الخميس,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:57 (WIB)","12:01 (WIB)","15:11 (WIB)","18:06 (WIB)","18:06 (WIB)","19:15 (WIB)","04:30 (WIB)","00:01 (WIB)","22:03 (WIB)","02:00 (WIB)","15 Mar 2024",1710468061,15-03-2024,DD-MM-YYYY,15,Friday,3,March,2024,AD,"Anno Domini",06-09-1445,DD-MM-YYYY,06,"Al Juma'a",الجمعة,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:57 (WIB)","12:01 (WIB)","15:11 (WIB)","18:05 (WIB)","18:05 (WIB)","19:14 (WIB)","04:30 (WIB)","00:01 (WIB)","22:02 (WIB)","02:00 (WIB)","16 Mar 2024",1710554461,16-03-2024,DD-MM-YYYY,16,Saturday,3,March,2024,AD,"Anno Domini",07-09-1445,DD-MM-YYYY,07,"Al Sabt",السبت,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:57 (WIB)","12:01 (WIB)","15:11 (WIB)","18:05 (WIB)","18:05 (WIB)","19:14 (WIB)","04:30 (WIB)","00:01 (WIB)","22:02 (WIB)","02:00 (WIB)","17 Mar 2024",1710640861,17-03-2024,DD-MM-YYYY,17,Sunday,3,March,2024,AD,"Anno Domini",08-09-1445,DD-MM-YYYY,08,"Al Ahad",الاحد,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:57 (WIB)","12:01 (WIB)","15:11 (WIB)","18:04 (WIB)","18:04 (WIB)","19:13 (WIB)","04:30 (WIB)","00:01 (WIB)","22:02 (WIB)","01:59 (WIB)","18 Mar 2024",1710727261,18-03-2024,DD-MM-YYYY,18,Monday,3,March,2024,AD,"Anno Domini",09-09-1445,DD-MM-YYYY,09,"Al Athnayn",الاثنين,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:57 (WIB)","12:00 (WIB)","15:12 (WIB)","18:04 (WIB)","18:04 (WIB)","19:13 (WIB)","04:30 (WIB)","00:00 (WIB)","22:01 (WIB)","01:59 (WIB)","19 Mar 2024",1710813661,19-03-2024,DD-MM-YYYY,19,Tuesday,3,March,2024,AD,"Anno Domini",10-09-1445,DD-MM-YYYY,10,"Al Thalaata",الثلاثاء,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:40 (WIB)","05:57 (WIB)","12:00 (WIB)","15:12 (WIB)","18:03 (WIB)","18:03 (WIB)","19:12 (WIB)","04:30 (WIB)","00:00 (WIB)","22:01 (WIB)","01:59 (WIB)","20 Mar 2024",1710900061,20-03-2024,DD-MM-YYYY,20,Wednesday,3,March,2024,AD,"Anno Domini",11-09-1445,DD-MM-YYYY,11,"Al Arba'a",الاربعاء,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:39 (WIB)","05:57 (WIB)","12:00 (WIB)","15:12 (WIB)","18:03 (WIB)","18:03 (WIB)","19:12 (WIB)","04:29 (WIB)","00:00 (WIB)","22:01 (WIB)","01:59 (WIB)","21 Mar 2024",1710986461,21-03-2024,DD-MM-YYYY,21,Thursday,3,March,2024,AD,"Anno Domini",12-09-1445,DD-MM-YYYY,12,"Al Khamees",الخميس,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:39 (WIB)","05:56 (WIB)","11:59 (WIB)","15:12 (WIB)","18:02 (WIB)","18:02 (WIB)","19:11 (WIB)","04:29 (WIB)","23:59 (WIB)","22:00 (WIB)","01:58 (WIB)","22 Mar 2024",1711072861,22-03-2024,DD-MM-YYYY,22,Friday,3,March,2024,AD,"Anno Domini",13-09-1445,DD-MM-YYYY,13,"Al Juma'a",الجمعة,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:39 (WIB)","05:56 (WIB)","11:59 (WIB)","15:12 (WIB)","18:02 (WIB)","18:02 (WIB)","19:11 (WIB)","04:29 (WIB)","23:59 (WIB)","22:00 (WIB)","01:58 (WIB)","23 Mar 2024",1711159261,23-03-2024,DD-MM-YYYY,23,Saturday,3,March,2024,AD,"Anno Domini",14-09-1445,DD-MM-YYYY,14,"Al Sabt",السبت,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:39 (WIB)","05:56 (WIB)","11:59 (WIB)","15:12 (WIB)","18:01 (WIB)","18:01 (WIB)","19:10 (WIB)","04:29 (WIB)","23:59 (WIB)","22:00 (WIB)","01:58 (WIB)","24 Mar 2024",1711245661,24-03-2024,DD-MM-YYYY,24,Sunday,3,March,2024,AD,"Anno Domini",15-09-1445,DD-MM-YYYY,15,"Al Ahad",الاحد,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:39 (WIB)","05:56 (WIB)","11:59 (WIB)","15:13 (WIB)","18:01 (WIB)","18:01 (WIB)","19:10 (WIB)","04:29 (WIB)","23:59 (WIB)","21:59 (WIB)","01:58 (WIB)","25 Mar 2024",1711332061,25-03-2024,DD-MM-YYYY,25,Monday,3,March,2024,AD,"Anno Domini",16-09-1445,DD-MM-YYYY,16,"Al Athnayn",الاثنين,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
"04:39 (WIB)","05:56 (WIB)","11:58 (WIB)","15:13 (WIB)","18:00 (WIB)","18:00 (WIB)","19:10 (WIB)","04:29 (WIB)","23:58 (WIB)","21:59 (WIB)","01:57 (WIB)","26 Mar 2024",1711418461,26-03-2024,DD-MM-YYYY,26,Tuesday,3,March,2024,AD,"Anno Domini",17-09-1445,DD-MM-YYYY,17,"Al Thalaata",الثلاثاء,9,Ramaḍān,رَمَضان,1445,AH,"Anno Hegirae",-6.182283,106.839426,Asia/Jakarta,20,"Kementerian Agama Republik Indonesia",20,18,-6.2087634,106.845599,ANGLE_BASED,STANDARD,STANDARD,0,0,0,0,0,0,0,0,0,
